"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","89.40","89.49","89.54","89.37","1.20K","-0.25%"
"12/30/2024","89.63","89.40","89.69","89.40","3.71K","0.58%"
"12/27/2024","89.11","88.80","89.27","88.61","6.28K","0.51%"
"12/26/2024","88.66","88.65","88.71","88.58","5.14K","0.12%"
"12/24/2024","88.55","88.60","88.74","88.50","2.15K","-0.05%"
"12/23/2024","88.59","88.65","88.85","88.54","6.07K","0.27%"
"12/20/2024","88.36","88.50","88.50","88.15","3.84K","-0.36%"
"12/19/2024","88.68","88.65","88.75","88.31","5.53K","-0.70%"
"12/18/2024","89.30","89.30","89.32","89.21","2.44K","0.14%"
"12/17/2024","89.18","89.32","89.39","89.07","2.56K","0.01%"
"12/16/2024","89.17","89.15","89.35","89.10","1.38K","0.21%"
"12/13/2024","88.98","89.00","89.05","88.79","3.79K","-0.29%"
"12/12/2024","89.24","89.17","89.49","89.17","2.89K","0.08%"
"12/11/2024","89.17","89.58","89.60","89.10","6.43K","-0.46%"
"12/10/2024","89.58","89.71","89.82","89.56","1.40K","-0.24%"
"12/09/2024","89.79","89.55","89.82","89.46","7.47K","-0.04%"
"12/06/2024","89.83","89.73","89.86","89.57","3.31K","0.54%"
"12/05/2024","89.36","89.34","89.55","89.29","2.81K","0.13%"
"12/04/2024","89.24","89.19","89.38","89.10","2.91K","-0.14%"
"12/03/2024","89.36","89.05","89.45","89.05","1.43K","-0.08%"
"12/02/2024","89.43","89.45","89.49","89.19","3.72K","-0.20%"
"11/29/2024","89.61","89.55","89.76","89.51","3.41K","0.17%"
"11/28/2024","89.46","89.30","89.58","89.30","1.76K","1.04%"
"11/27/2024","88.53","88.61","88.68","88.30","6.76K","-0.16%"
"11/26/2024","88.68","88.33","88.79","88.33","5.58K","0.10%"
"11/25/2024","88.59","88.36","88.61","88.09","5.34K","0.57%"
"11/22/2024","88.08","88.80","88.81","87.70","8.07K","-1.20%"
"11/21/2024","89.15","89.15","89.26","89.00","3.77K","-0.24%"
"11/19/2024","89.37","89.36","89.70","89.06","6.17K","0.29%"
"11/18/2024","89.11","88.87","89.25","88.87","3.73K","0.33%"
"11/14/2024","88.82","89.40","89.40","88.71","7.21K","-1.18%"
"11/13/2024","89.88","89.78","89.90","89.51","2.67K","0.05%"
"11/12/2024","89.83","90.16","90.16","89.76","6.39K","-0.49%"
"11/11/2024","90.27","90.90","90.90","90.20","13.12K","-0.95%"
"11/08/2024","91.14","91.00","91.19","91.00","3.94K","0.27%"
"11/07/2024","90.89","90.59","90.95","90.59","4.45K","0.29%"
"11/06/2024","90.63","90.98","91.49","90.35","18.10K","-1.22%"
"11/05/2024","91.75","91.68","91.79","91.61","1.53K","-0.07%"
"11/04/2024","91.81","91.60","91.82","91.60","2.54K","0.33%"
"11/01/2024","91.50","91.45","91.55","91.44","0.76K","0.05%"
"10/31/2024","91.46","91.28","91.56","91.28","1.27K","0.24%"
"10/30/2024","91.24","90.96","91.40","90.96","3.34K","0.39%"
"10/29/2024","90.88","90.70","90.89","90.52","6.39K","-0.07%"
"10/28/2024","90.94","90.82","90.95","90.60","3.25K","-0.05%"
"10/25/2024","90.99","90.83","91.24","90.83","1.37K","0.20%"
"10/24/2024","90.80","90.68","90.87","90.64","3.59K","0.14%"
"10/23/2024","90.68","90.94","90.94","90.65","4.17K","-0.45%"
"10/22/2024","91.09","91.15","91.25","90.99","3.74K","-0.16%"
"10/21/2024","91.24","91.29","91.39","91.17","1.56K","-0.03%"
"10/18/2024","91.27","91.16","91.30","91.15","4.01K","-0.13%"
"10/17/2024","91.38","91.45","91.50","91.22","3.41K","-0.26%"
"10/16/2024","91.62","91.60","91.74","91.50","3.13K","-0.13%"
"10/15/2024","91.74","91.83","91.84","91.63","2.02K","-0.22%"
"10/14/2024","91.94","92.10","92.14","91.90","2.30K","-0.17%"
"10/11/2024","92.10","92.07","92.19","91.96","2.70K","0.09%"
"10/10/2024","92.01","92.05","92.08","91.90","5.11K","-0.19%"
"10/09/2024","92.18","92.30","92.34","92.06","1.42K","-0.22%"
"10/08/2024","92.39","92.39","92.49","92.27","0.86K","0.16%"
"10/07/2024","92.24","92.50","92.50","92.10","6.70K","-0.62%"
"10/04/2024","92.81","92.80","92.85","92.71","16.33K","-0.10%"
"10/03/2024","92.91","92.80","93.00","92.71","7.45K","-0.30%"
"10/01/2024","93.19","93.60","93.65","93.13","9.27K","-0.82%"
"09/30/2024","93.96","93.52","94.15","93.42","6.23K","0.47%"
"09/27/2024","93.52","93.50","93.62","93.31","18.97K","0.21%"
"09/26/2024","93.32","93.47","93.47","93.20","9.32K","-0.22%"
"09/25/2024","93.53","93.55","93.78","93.32","5.32K","0.43%"
"09/24/2024","93.13","92.94","93.40","92.82","12.68K","0.20%"
"09/23/2024","92.94","93.30","93.35","92.70","8.87K","-0.33%"
"09/20/2024","93.25","93.52","93.54","93.22","3.61K","-0.20%"
"09/19/2024","93.44","93.00","93.55","93.00","4.30K","0.17%"
"09/17/2024","93.29","93.40","93.40","93.25","1.40K","0.03%"
"09/16/2024","93.25","93.10","93.40","93.02","1.44K","0.19%"
"09/13/2024","93.08","93.00","93.15","92.86","3.12K","0.48%"
"09/12/2024","92.64","92.65","92.69","92.55","4.36K","-0.23%"
"09/11/2024","92.85","92.82","92.91","92.78","2.83K","0.03%"
"09/10/2024","92.82","92.89","92.89","92.72","1.72K","-0.08%"
"09/09/2024","92.89","93.20","93.55","92.82","4.51K","-0.55%"
"09/06/2024","93.40","93.49","93.50","93.31","1.15K","0.11%"
"09/05/2024","93.30","93.10","93.33","93.00","1.23K","0.39%"
"09/04/2024","92.93","92.88","92.98","92.86","0.54K","0.06%"
"09/03/2024","92.88","93.00","93.04","92.80","1.92K","-0.14%"
"09/02/2024","93.00","92.95","93.04","92.83","3.68K","-0.09%"
"08/30/2024","93.08","93.10","93.18","93.01","6.01K","-0.21%"
"08/29/2024","93.28","93.59","93.59","93.10","8.01K","-0.33%"
"08/28/2024","93.59","93.78","94.70","93.53","11.23K","-0.21%"
"08/27/2024","93.79","93.67","93.94","93.67","7.90K","0.07%"
"08/26/2024","93.72","93.60","93.88","93.60","2.46K","0.44%"
"08/23/2024","93.31","93.39","93.50","93.21","3.96K","-0.22%"
"08/22/2024","93.52","93.50","93.72","93.40","3.78K","0.19%"
"08/21/2024","93.34","93.00","93.70","93.00","4.80K","0.58%"
"08/20/2024","92.80","92.81","92.99","92.73","2.48K","0.12%"
"08/19/2024","92.68","92.59","92.75","92.50","5.41K","0.40%"
"08/16/2024","92.32","92.44","92.44","92.20","1.56K","-0.18%"
"08/14/2024","92.49","92.15","92.64","92.15","3.79K","0.77%"
"08/13/2024","91.78","91.79","91.94","91.76","0.74K","-0.01%"
"08/12/2024","91.79","91.72","91.82","91.66","0.80K","0.07%"
"08/09/2024","91.73","91.76","91.80","91.70","0.66K","-0.03%"
"08/08/2024","91.76","91.82","91.95","91.65","2.08K","-0.07%"
"08/07/2024","91.82","91.69","91.85","91.63","1.37K","0.11%"
"08/06/2024","91.72","92.00","92.00","91.69","2.51K","-0.40%"
"08/05/2024","92.09","91.01","92.20","91.01","9.21K","1.48%"
"08/02/2024","90.75","90.47","90.80","90.40","2.67K","0.30%"
"08/01/2024","90.47","90.89","90.90","90.45","3.95K","-0.45%"
"07/31/2024","90.88","90.79","90.90","90.69","1.53K","0.09%"
"07/30/2024","90.79","90.69","90.85","90.65","2.46K","-0.13%"
"07/29/2024","90.92","91.00","91.00","90.85","10.12K","0.03%"
"07/26/2024","90.89","90.83","90.95","90.75","1.14K","0.00%"
"07/25/2024","90.89","90.61","90.84","90.61","1.26K","0.23%"
"07/24/2024","90.69","90.80","90.90","90.62","2.72K","-0.29%"
"07/23/2024","90.96","91.05","91.15","90.91","0.49K","-0.22%"
"07/22/2024","91.15","91.05","91.20","90.96","0.41K","0.07%"
"07/19/2024","91.09","91.27","91.38","91.00","1.49K","-0.40%"
"07/18/2024","91.46","91.32","91.47","91.25","0.71K","0.38%"
"07/16/2024","91.11","91.13","91.30","91.00","2.35K","-0.13%"
"07/15/2024","91.24","90.75","91.25","90.75","1.35K","0.28%"
"07/12/2024","90.98","90.68","91.00","90.68","3.15K","0.39%"
"07/11/2024","90.63","90.44","90.69","90.44","1.84K","0.20%"
"07/10/2024","90.44","90.49","90.49","90.38","0.34K","-0.03%"
"07/09/2024","90.47","90.47","90.53","90.42","4.61K","-0.01%"
"07/08/2024","90.47","90.44","90.50","90.35","3.60K","0.04%"
"07/05/2024","90.43","90.25","90.50","90.25","4.59K","0.24%"
