Date,USDINR_Spot,EURINR_Spot,USDINR_Futures,EURINR_Futures,VIX
2015-01-30,62.02,70.0115,62.23,70.62,20.97
2015-02-02,61.719,70.0015,62.12,70.39,19.43
2015-02-03,61.596,70.718,61.99,70.34,17.33
2015-02-04,61.842,70.169,62.04,70.96,18.33
2015-02-05,61.709,70.823,61.97,70.84,16.85
2015-02-06,61.97,70.122,61.93,70.81,17.29
2015-02-09,62.149,70.3805,62.38,70.55,18.55
2015-02-10,62.327,70.5605,62.35,70.33,17.23
2015-02-11,62.382,70.7005,62.44,70.57,16.96
2015-02-12,62.15,70.8695,62.41,70.75,15.34
2015-02-13,62.076,70.6765,62.3,71.09,14.69
2015-02-16,62.105,70.517,62.28,71.11,14.69
2015-02-18,62.057,70.729,62.39,70.96,15.45
2015-02-20,62.109,70.683,62.28,70.55,14.3
2015-02-23,62.163,70.446,62.33,70.42,14.56
2015-02-24,62.17,70.507,62.26,70.46,13.69
2015-02-25,61.862,70.2845,62.05,70.43,13.84
2015-02-26,61.731,69.126,62.12,70.52,13.91
2015-02-27,61.659,69.0305,62.22,69.91,13.34
2015-03-02,61.862,69.1895,62.27,69.93,13.04
2015-03-03,61.819,69.0885,62.27,69.56,13.86
2015-03-04,62.309,69.0325,62.54,69.62,14.23
2015-03-05,62.381,68.8095,62.48,69.1,14.04
2015-03-09,62.634,67.973,62.83,68.39,15.06
2015-03-10,62.72,67.098,63.0,67.76,16.69
2015-03-11,62.781,66.215,63.07,66.7,16.87
2015-03-12,62.542,66.517,62.74,66.69,15.42
2015-03-13,63.083,66.2065,63.2,66.96,16.0
2015-03-16,62.78,66.3495,63.02,66.43,15.61
2015-03-17,62.623,66.3715,62.89,66.75,15.66
2015-03-18,62.701,68.134,62.88,66.81,13.97
2015-03-19,62.49,66.614,62.65,67.01,14.07
2015-03-20,62.41,67.54,62.55,66.88,13.02
2015-03-23,62.23,68.12,62.37,67.84,13.41
2015-03-24,62.348,68.1245,62.33,68.45,13.62
2015-03-25,62.412,68.4755,62.41,68.57,15.44
2015-03-26,62.836,68.3905,62.73,69.03,15.8
2015-03-27,62.523,68.078,62.61,68.15,15.07
2015-03-30,62.51,67.717,63.0,68.25,14.51
2015-03-31,62.291,66.845,62.83,67.53,15.29
2015-04-06,62.207,67.9525,62.49,68.69,14.74
2015-04-07,62.296,67.37,62.55,67.96,14.78
2015-04-08,62.192,67.051,62.51,67.94,13.98
2015-04-09,62.306,66.415,62.46,67.27,13.09
2015-04-10,62.276,66.037,62.52,66.19,12.58
2015-04-13,62.407,65.948,62.71,66.03,13.94
2015-04-15,62.36,66.641,62.56,66.28,12.84
2015-04-16,62.317,67.063,62.42,66.97,12.6
2015-04-17,62.55,67.598,62.47,67.49,13.89
2015-04-20,63.137,67.8065,63.02,67.66,13.3
2015-04-21,62.854,67.4775,62.97,67.28,13.25
2015-04-22,62.98,67.556,62.94,67.77,12.71
2015-04-23,63.277,68.5065,63.36,68.04,12.48
2015-04-24,63.662,69.2265,63.61,68.86,12.29
2015-04-27,63.346,68.9745,63.51,68.84,13.12
2015-04-28,63.053,69.2425,63.33,68.93,12.41
2015-04-29,63.46,70.6405,63.66,69.99,13.39
2015-04-30,63.529,71.309,63.8,71.3,14.55
2015-05-05,63.369,70.8845,63.75,70.94,14.31
2015-05-06,63.621,72.228,63.84,71.66,15.15
2015-05-07,64.073,72.1875,64.48,73.01,15.13
2015-05-08,63.711,71.385,64.19,71.97,12.86
2015-05-11,64.007,71.4,64.09,71.41,13.85
2015-05-12,64.147,71.9375,64.37,72.38,13.86
2015-05-13,64.013,72.703,64.19,72.02,13.76
2015-05-14,63.383,72.32,63.78,72.84,12.74
2015-05-15,63.44,72.655,63.65,72.25,12.38
2015-05-18,63.708,72.089,63.82,72.79,12.73
2015-05-19,63.763,71.093,63.77,71.38,12.85
2015-05-20,63.598,70.5495,63.94,70.96,12.88
2015-05-21,63.58,70.653,63.69,71.02,12.11
2015-05-22,63.49,69.95,63.56,70.99,12.13
2015-05-25,63.496,69.703,63.58,69.76,12.13
2015-05-26,63.972,69.56,63.98,69.82,14.06
2015-05-27,63.826,69.6025,63.95,69.86,13.27
2015-05-28,63.763,69.8175,64.17,69.95,13.31
2015-05-29,63.743,70.041,64.2,70.38,13.84
2015-06-01,63.594,69.492,64.06,69.93,13.97
